| name                   |   ece_logits |   ece_verbalised |   ece_calib |   brier_logits |   brier_verbalised |   brier_calib |   auroc_logits |   auroc_verbalised |   auroc_calib |   auprc_logits |   auprc_verbalised |   auprc_calib |
|:-----------------------|-------------:|-----------------:|------------:|---------------:|-------------------:|--------------:|---------------:|-------------------:|--------------:|---------------:|-------------------:|--------------:|
| TemperatureScaling     |     0.509288 |         0.596667 |    0.14449  |       0.492303 |           0.598333 |      0.246273 |       0.616412 |           0.505184 |      0.597216 |       0.460833 |           0.392476 |      0.447351 |
| FrequencyTS            |     0.509288 |         0.596667 |    0.123627 |       0.492303 |           0.598333 |      0.245095 |       0.616412 |           0.505184 |      0.592826 |       0.460833 |           0.392476 |      0.444943 |
| FrequencyTSBotOnly     |     0.509288 |         0.596667 |    0.129551 |       0.492303 |           0.598333 |      0.244916 |       0.616412 |           0.505184 |      0.594507 |       0.460833 |           0.392476 |      0.448702 |
| FrequencyTSMeanOnly    |     0.509288 |         0.596667 |    0.117799 |       0.492303 |           0.598333 |      0.244066 |       0.616412 |           0.505184 |      0.593433 |       0.460833 |           0.392476 |      0.446024 |
| FrequencyTSMeanStdOnly |     0.509288 |         0.596667 |    0.117799 |       0.492303 |           0.598333 |      0.244066 |       0.616412 |           0.505184 |      0.593433 |       0.460833 |           0.392476 |      0.446024 |
| FrequencyTSNoRF        |     0.509288 |         0.596667 |    0.117799 |       0.492303 |           0.598333 |      0.244066 |       0.616412 |           0.505184 |      0.593433 |       0.460833 |           0.392476 |      0.446024 |
| FrequencyTSTopOnly     |     0.509288 |         0.596667 |    0.136381 |       0.492303 |           0.598333 |      0.245285 |       0.616412 |           0.505184 |      0.596002 |       0.460833 |           0.392476 |      0.445691 |

| name                   |   ece_logits |   ece_verbalised |   ece_calib |   brier_logits |   brier_verbalised |   brier_calib |   auroc_logits |   auroc_verbalised |   auroc_calib |   auprc_logits |   auprc_verbalised |   auprc_calib |
|:-----------------------|-------------:|-----------------:|------------:|---------------:|-------------------:|--------------:|---------------:|-------------------:|--------------:|---------------:|-------------------:|--------------:|
| TemperatureScaling     |     0.515209 |         0.616667 |    0.11207  |       0.496182 |           0.616667 |      0.238776 |       0.628249 |           0.498355 |      0.656733 |       0.506961 |           0.382557 |      0.552965 |
| FrequencyTS            |     0.515209 |         0.616667 |    0.104548 |       0.496182 |           0.616667 |      0.237937 |       0.628249 |           0.498355 |      0.65114  |       0.506961 |           0.382557 |      0.551856 |
| FrequencyTSBotOnly     |     0.515209 |         0.616667 |    0.105197 |       0.496182 |           0.616667 |      0.237909 |       0.628249 |           0.498355 |      0.651328 |       0.506961 |           0.382557 |      0.551826 |
| FrequencyTSMeanOnly    |     0.515209 |         0.616667 |    0.100128 |       0.496182 |           0.616667 |      0.236955 |       0.628249 |           0.498355 |      0.651469 |       0.506961 |           0.382557 |      0.552908 |
| FrequencyTSMeanStdOnly |     0.515209 |         0.616667 |    0.100128 |       0.496182 |           0.616667 |      0.236955 |       0.628249 |           0.498355 |      0.651469 |       0.506961 |           0.382557 |      0.552908 |
| FrequencyTSNoRF        |     0.515209 |         0.616667 |    0.100128 |       0.496182 |           0.616667 |      0.236955 |       0.628249 |           0.498355 |      0.651469 |       0.506961 |           0.382557 |      0.552908 |
| FrequencyTSTopOnly     |     0.515209 |         0.616667 |    0.107629 |       0.496182 |           0.616667 |      0.237745 |       0.628249 |           0.498355 |      0.656216 |       0.506961 |           0.382557 |      0.55309  |
